dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;phase;trialnum;lt;nlt;looks;lookaways;crit_met;alt_type
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;1;250;0;1;0;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;2;1500;0;1;0;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;3;2750;0;1;0;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;4;3181;819;1;1;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;5;3181;2069;1;1;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;6;4350;2150;2;2;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;7;4910;2840;3;2;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;8;5855;3145;3;3;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;9;6746;3504;4;3;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;10;7334;4166;5;4;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;11;8221;4529;5;5;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;12;9186;4813;6;5;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;13;10218;5031;6;6;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;14;11088;5412;7;7;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;15;11088;6662;7;7;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;16;11088;7912;7;7;false;0
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;PHASE_POST_ATTENTION;17;11088;9162;7;7;false;0
